ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
Y8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.35073921600902,2698.61
Y1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.38798124932999,5326.53
Y0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.51802855107542,5199.28
Y3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.40862134426495,3125.25
Y2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.55900164294738,4403.45
H7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.68529702123633,628.02
Y5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.41764824581202,4495.86
Y4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.30423787379952,4636.41
Y7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.15717513989641,3133.22
Y6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,3.01023445720613,3977.39
P8,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.11624653696713,1037.04
P7,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.26116144420839,2798.82
H0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.17904993645144,4977.37
P9,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.07615082386008,594.17
H2,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.19694358317322,4017.04
H1,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.28904544302584,7940.09
H4,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.22195076997514,6017.36
H3,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.11700724106861,4070.19
H6,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.02353771284778,2312.37
P0,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,2.56531260980774,3288.88
H5,TMm,seas-JJA,GWL-20,EC-EARTH,SMHI-RCA4,1.85150772311513,2035.43
